name,latitude,longitude,type
Unnamed,11.6988333,9.0859746,clinic
Unnamed,11.816667,7.9,hospital
Tsara Primary Health Centre,11.4507448,7.7276659,hospital
Dayaso Health Post,11.5159251,7.7354815,hospital
Fulatan Primary Health Centre,11.400621,7.8588881,hospital
Gwangwan Primary Health Centre,11.4870724,7.7472255,hospital
Hago Primary Health Centre,11.4799185,7.8311742,hospital
Ruwan Bago Health Post,11.4071835,7.7574532,hospital
Sundu Health Post,11.3806332,7.7615261,hospital
Tudun Magaji Health Post,11.4528744,7.7818216,hospital
Unguwar Liman Health Post,11.4050538,7.7436668,hospital
Unguwar Malam Amadu Health Post,11.4932289,7.7720426,hospital
Zarewa Primary Health Centre,11.3970316,7.8119881,hospital
Bari Primary Health Centre,11.5683198,7.7511988,hospital
Kaleku Health Post,11.6249586,7.883484,hospital
Karshi Health Post,11.54124,7.825976,hospital
Kauyen Liman Health Post,11.5426114,7.820641,hospital
Rogo General Hospital,11.5526616,7.8308789,hospital
Tsohuwar Rogo Health Post,11.574668,7.799462,hospital
Zoza Health Post,11.6274485,7.8718061,hospital
Ba'Awa Health Post,11.5984067,7.9871577,hospital
Jajaye Primary Health Centre,11.5567689,7.9357513,hospital
Maska Health Post,11.5945109,8.0809388,hospital
Sagondare Health Post,11.4800424,7.9547419,hospital
Yanoko Primary Health Centre,11.4558949,7.9180823,hospital
Dalal Health Post,11.8351422,7.9491289,hospital
Dambazau Health Post,11.8114536,8.0292982,hospital
Daura Health Post,11.7256288,7.9830086,hospital
Dederi Health Post,11.8436645,8.0573574,hospital
Dutsan Amare Health Post,11.8273137,7.9908227,hospital
Kadafa Health Post,11.7988485,7.941187,hospital
Kara Primary Health Centre,11.8432876,7.9591133,hospital
Kurugu Health Post,11.8328346,8.039604,hospital
Sabon Birni Primary Health Centre,11.8562137,8.0313367,hospital
Sabon Fegi Health Post,11.806303,8.0639555,hospital
Sabon Layin Kara Health Post,11.8249152,7.9326276,hospital
Tudun Kaya Health Post,11.7332488,7.930958,hospital
Tumfafi Health Post,11.8377453,8.02226,hospital
Turawa Primary Health Centre,11.6976912,8.0479644,hospital
Unguwar Tofa Health Post,11.785645,7.9596402,hospital
Yola Primary Health Centre,11.7198087,7.9490968,hospital
Zangun Majema Health Post,11.8161764,8.002074,hospital
Dadin Kowa Primary Health Centre,10.7017877,8.6305712,hospital
Dariyar Shere Primary Health Centre,10.6704612,8.7410562,hospital
Dokar Sati Health Post,10.728985,8.619358,hospital
Kwando Primary Health Centre,10.7081211,8.6826966,hospital
Mekwandira Health Post,10.8088385,8.6301797,hospital
Ririwai Primary Health Centre,10.750129,8.7279186,hospital
Achilafiya Health Post,11.7484648,8.1386675,hospital
Alhazawa Health Post,11.7093773,8.167287,hospital
Bargoni Health Post,11.719051,8.1052227,hospital
Baskore Health Post,11.8426972,8.1478795,hospital
Dashi Health Post,11.7173406,8.227324,hospital
Dugabau Primary Health Centre,11.8027135,8.2070991,hospital
Gazan Health Post,11.7108499,8.1974104,hospital
Hawadin Galadima Primary Health Centre,11.8657616,8.2355798,hospital
Husama Health Post,11.788362,8.113176,hospital
Kabo Cottage General Hospital,11.8511893,8.1677976,hospital
Kafin Dabga Health Post,11.8318724,8.1230959,hospital
Kailani Health Post,11.7301784,8.1820486,hospital
Kanwa Health Post,11.8264287,8.1505252,hospital
Kauyen Mahuta Health Post,11.8663042,8.1539167,hospital
Kiru General Hospital,11.70699,8.1347617,hospital
Malan Gajere Health Post,11.8602942,8.1921146,hospital
Masanawa Health Post,11.8468936,8.2425612,hospital
Unguwar Turaki Health Post,11.8202943,8.2309109,hospital
Walawa Health Post,11.786184,8.2231491,hospital
Yammedi Primary Health Centre,11.82384,8.0924596,hospital
Zuwo Health Post,11.7502925,8.2055225,hospital
Bauda Health Post,11.5889314,8.1904451,hospital
Dangora Primary Health Centre,11.5360867,8.1572808,hospital
Durmawa Health Post,11.6051805,8.2583199,hospital
Gwarmai Health Post,11.533195,8.2548285,hospital
Kogo Primary Health Centre,11.6230036,8.1719701,hospital
Maraku Health Post,11.6771402,8.1288908,hospital
Tsaudawa Health Post,11.6809365,8.202676,hospital
Yako Primary Health Centre,11.6557163,8.1929152,hospital
Badafi Health Post,11.3735413,8.1691508,hospital
Gajale Health Post,11.4345387,8.2370948,hospital
Hayin Gwarmai Health Post,11.4599134,8.2035506,hospital
